"# Batch trade template (CSV). Drop a copy of this file (renamed without "".sample"")",,,,,,,,,,,,,,,
# into data/trades/ and the pricer will load every row as a trade.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# Columns:,,,,,,,,,,,,,,,
#   trade_id                  unique label, e.g. SWAP_TEST_001,,,,,,,,,,,,,,
#   notional                  positive number, e.g. 500000000,,,,,,,,,,,,,,
#   pay_fixed                 true = pay fixed/receive float, false = receive fixed/pay float,,,,,,,,,,,,,,
#   fixed_rate                decimal, e.g. 0.0541 = 5.41%,,,,,,,,,,,,,,
#   start_date                ISO date, first accrual day,,,,,,,,,,,,,,
#   maturity_date             ISO date, last accrual end (final pay = maturity + payment_delay_bdays),,,,,,,,,,,,,,
#   fixed_frequency           1Y / 6M / 3M / 1M / 1W / 1D,,,,,,,,,,,,,,,
#   fixed_daycount            ACT/360 (default) | ACT/365F | 30/360 | 30E/360 | ACT/ACT-ISDA,,,,,,,,,,,,,,,
#   floating_daycount         same options as fixed_daycount; usually ACT/360,,,,,,,,,,,,,,,
#   floating_spread           decimal, e.g. 0.0025 = 25 bp; usually 0,,,,,,,,,,,,,,
#   fixing_calendar           NY_FED (only one supported today),,,,,,,,,,,,,,,
#   payment_calendar          NY_FED,,,,,,,,,,,,,,,
#   payment_delay_bdays       int, business-day lag between accrual end and cash payment,,,,,,,,,,,,,,
#   lockout_bdays             int, business days of frozen fixings at the period end,,,,,,,,,,,,,,
#   business_day_convention   ModifiedFollowing (default) | Following | Preceding | ModifiedPreceding | None,,,,,,,,,,,,,,,
#   description               free text (optional),,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# Lines starting with # are ignored. Blank rows are ignored.,,,,,,,,,,,,,,,
trade_id,notional,pay_fixed,fixed_rate,start_date,maturity_date,fixed_frequency,fixed_daycount,floating_daycount,floating_spread,fixing_calendar,payment_calendar,payment_delay_bdays,lockout_bdays,business_day_convention,description
Trade_024,1000000000,FALSE,0.0451,7/22/2025,7/15/2030,1M,30/360,ACT/360,0,NY_FED,NY_FED,2,0,ModifiedFollowing,
Trade_025,1750000000,FALSE,0.04918,7/25/2025,7/20/2033,1M,30/360,ACT/360,0,NY_FED,NY_FED,2,0,ModifiedFollowing,
Trade_026,1500000000,FALSE,0.04351,7/25/2025,7/20/2029,1M,30/360,ACT/360,0,NY_FED,NY_FED,2,0,ModifiedFollowing,
Trade_027,2000000000,FALSE,0.04084,10/24/2025,10/24/2036,1M,30/360,ACT/360,0,NY_FED,NY_FED,2,0,ModifiedFollowing,
Trade_028,1350000000,FALSE,0.04009,2/10/2026,2/9/2029,1M,30/360,ACT/360,0,NY_FED,NY_FED,2,0,ModifiedFollowing,
Trade_029,500000000,FALSE,0.0541204,2/10/2026,2/8/2041,1M,30/360,ACT/360,0,NY_FED,NY_FED,2,0,ModifiedFollowing,
Trade_030,1000000000,FALSE,0.04456,2/10/2026,2/10/2032,1M,30/360,ACT/360,0,NY_FED,NY_FED,2,0,ModifiedFollowing,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
